N,P,K,temperature,humidity,ph,rainfall,label
33.22,75.17,24.44,34.73,38.45,7.01,151.97,pigeonpeas
17.38,79.62,21.42,28.81,42.4,6.3,158.71,pigeonpeas
25.72,73.86,21.71,37.51,33.69,5.35,185.09,pigeonpeas
15.73,64.83,21.32,36.38,37.78,6.68,154.56,pigeonpeas
27.02,69.77,16.99,36.05,48.17,6.55,153.9,pigeonpeas
31.56,71.53,19.18,36.23,51.27,6.86,198.97,pigeonpeas
17.96,56.96,22.51,37.33,38.59,5.42,173.24,pigeonpeas
22.22,68.61,16.01,33.44,32.02,5.49,138.65,pigeonpeas
24.95,72.73,17.78,30.0,43.69,7.23,167.81,pigeonpeas
37.99,59.18,17.76,34.17,38.2,6.87,132.82,pigeonpeas
39.83,74.52,19.32,35.43,37.68,7.27,115.18,pigeonpeas
16.12,69.59,24.8,35.38,63.6,6.9,155.65,pigeonpeas
34.03,78.81,15.68,33.21,51.57,6.49,192.1,pigeonpeas
24.29,56.06,20.19,28.68,49.49,6.64,192.21,pigeonpeas
24.81,61.63,16.79,31.71,44.55,7.22,127.61,pigeonpeas
33.86,70.04,24.71,37.21,45.01,6.45,148.04,pigeonpeas
37.96,62.41,16.13,33.84,48.93,6.58,113.28,pigeonpeas
38.77,72.86,19.04,33.38,54.38,5.39,199.52,pigeonpeas
29.43,73.98,22.38,30.69,54.58,6.18,197.92,pigeonpeas
23.93,57.56,22.05,31.68,36.01,6.79,161.45,pigeonpeas
34.69,67.85,19.23,36.95,47.5,5.68,178.49,pigeonpeas
21.28,67.72,18.47,34.66,44.42,5.51,168.66,pigeonpeas
29.1,64.23,18.98,35.87,60.47,5.78,155.25,pigeonpeas
23.96,78.32,17.64,32.54,52.1,5.6,95.87,pigeonpeas
31.42,75.69,17.05,34.3,48.64,5.54,140.02,pigeonpeas
21.01,72.43,19.83,30.48,34.04,6.06,164.23,pigeonpeas
19.79,72.86,17.69,35.05,51.2,7.27,164.53,pigeonpeas
37.96,66.54,17.87,32.28,34.1,6.27,131.04,pigeonpeas
17.55,78.02,21.57,32.43,41.8,5.47,193.59,pigeonpeas
27.65,72.36,24.69,34.49,35.0,5.19,108.41,pigeonpeas
20.52,73.22,21.04,37.36,54.22,6.74,145.04,pigeonpeas
15.97,76.54,15.77,28.64,37.22,5.96,166.0,pigeonpeas
15.9,61.85,15.76,36.25,43.72,7.05,166.68,pigeonpeas
19.38,75.18,24.51,30.92,61.35,6.65,161.35,pigeonpeas
36.67,59.88,17.97,32.44,37.15,6.99,120.28,pigeonpeas
22.06,63.63,15.92,28.22,47.77,5.68,107.18,pigeonpeas
38.76,63.39,20.99,31.01,44.67,6.73,159.95,pigeonpeas
29.54,79.46,21.24,33.03,30.63,5.66,155.92,pigeonpeas
25.92,76.41,21.49,28.56,57.75,7.35,109.73,pigeonpeas
29.5,72.53,17.67,32.91,32.42,6.59,167.57,pigeonpeas
27.92,73.18,15.15,37.27,46.6,5.81,140.07,pigeonpeas
33.97,69.05,24.65,29.05,49.62,5.67,163.45,pigeonpeas
22.06,78.68,17.51,35.64,51.99,5.48,182.11,pigeonpeas
23.83,67.41,21.76,32.1,54.1,6.74,108.67,pigeonpeas
37.35,64.51,22.07,34.55,38.86,5.55,92.11,pigeonpeas
38.66,59.08,21.1,30.6,30.35,6.49,175.7,pigeonpeas
37.31,74.66,18.13,29.59,55.32,5.66,157.07,pigeonpeas
25.49,73.36,17.71,29.6,48.75,6.65,166.96,pigeonpeas
34.51,64.61,20.98,28.7,59.26,7.04,182.2,pigeonpeas
26.91,55.63,23.66,29.86,58.75,6.95,178.31,pigeonpeas
27.44,75.97,24.47,34.64,59.52,6.9,195.7,pigeonpeas
20.12,55.29,16.06,36.82,46.98,5.47,148.95,pigeonpeas
29.78,72.59,16.55,36.14,41.68,5.22,143.73,pigeonpeas
19.65,79.26,24.45,34.85,57.7,6.75,134.21,pigeonpeas
23.29,65.94,22.37,29.1,45.8,5.92,106.91,pigeonpeas
36.38,60.87,23.83,30.89,36.42,6.08,152.99,pigeonpeas
20.18,72.62,17.03,31.1,59.92,5.08,120.47,pigeonpeas
16.78,75.43,20.88,30.5,60.89,5.65,191.34,pigeonpeas
16.73,68.66,22.01,33.15,46.32,5.08,154.15,pigeonpeas
38.52,79.18,21.8,33.36,32.65,7.2,155.21,pigeonpeas
27.67,56.29,19.08,31.57,43.57,5.61,129.04,pigeonpeas
25.24,67.62,15.15,31.54,58.12,6.39,95.72,pigeonpeas
35.27,72.96,20.83,36.29,61.56,5.1,93.49,pigeonpeas
35.9,76.57,17.53,35.89,37.12,6.67,136.57,pigeonpeas
23.3,59.48,19.5,31.08,32.34,5.81,99.3,pigeonpeas
32.34,75.0,24.58,37.14,60.71,7.24,156.75,pigeonpeas
34.28,68.82,18.99,37.53,43.63,7.22,186.91,pigeonpeas
31.37,64.91,23.4,31.27,48.96,5.81,187.12,pigeonpeas
18.79,58.29,16.89,31.54,63.88,7.25,162.49,pigeonpeas
36.9,76.63,21.72,33.06,32.33,7.49,113.24,pigeonpeas
28.48,58.93,24.77,37.41,52.69,7.06,184.93,pigeonpeas
22.06,62.74,16.02,36.76,32.59,7.11,187.47,pigeonpeas
25.63,62.25,15.08,29.03,43.14,5.62,111.63,pigeonpeas
15.94,76.79,19.34,31.93,58.13,6.44,171.12,pigeonpeas
8.6,38.53,21.11,26.37,50.78,7.22,58.41,mothbeans
24.08,49.27,21.78,31.51,49.48,8.74,49.19,mothbeans
29.92,39.63,18.18,30.55,62.88,8.44,54.67,mothbeans
0.9,41.97,23.48,31.87,46.28,4.5,37.86,mothbeans
26.92,40.47,24.47,26.08,61.11,4.47,43.32,mothbeans
18.68,39.57,23.85,31.76,52.1,5.24,59.87,mothbeans
29.2,55.64,22.39,27.45,52.85,5.85,73.44,mothbeans
13.95,42.14,17.77,26.78,47.71,6.15,32.27,mothbeans
25.42,58.18,17.82,24.4,54.33,7.92,70.07,mothbeans
1.87,59.25,24.63,24.42,48.13,3.87,55.96,mothbeans
10.06,49.28,15.1,29.54,40.98,3.73,55.38,mothbeans
2.01,38.58,22.16,27.66,46.8,6.05,52.51,mothbeans
29.26,44.36,22.06,25.81,40.16,8.03,33.12,mothbeans
24.51,54.94,21.23,28.91,64.46,4.76,34.04,mothbeans
25.58,44.18,24.9,26.02,64.14,7.67,57.04,mothbeans
28.14,37.18,18.12,28.62,49.88,5.19,45.34,mothbeans
2.55,48.92,18.4,26.87,58.21,9.26,71.28,mothbeans
11.57,56.13,15.79,30.59,48.65,9.32,48.3,mothbeans
2.13,54.9,19.43,30.57,56.78,5.43,36.45,mothbeans
6.32,39.38,17.61,27.82,60.14,4.99,62.16,mothbeans
6.88,51.82,18.43,26.81,63.67,6.17,43.2,mothbeans
14.07,40.51,23.35,26.9,50.01,5.06,53.65,mothbeans
8.06,40.46,24.35,30.45,59.58,7.87,61.4,mothbeans
3.03,56.85,16.86,26.63,46.65,8.87,70.51,mothbeans
5.02,41.24,18.73,25.67,64.76,7.88,65.65,mothbeans
4.42,41.58,24.29,24.68,40.64,8.86,60.44,mothbeans
29.19,35.02,15.62,27.73,55.09,6.08,60.58,mothbeans
22.78,56.77,15.92,27.86,56.49,4.52,72.57,mothbeans
29.03,54.81,16.63,30.73,57.2,8.3,43.31,mothbeans
13.19,50.68,20.95,25.77,43.01,5.84,30.05,mothbeans
8.35,53.76,16.5,27.05,63.46,7.86,42.24,mothbeans
23.95,38.8,24.68,30.47,44.53,5.26,39.81,mothbeans
9.79,46.46,19.47,30.59,55.57,4.03,59.78,mothbeans
8.98,43.78,20.02,27.08,45.57,9.95,58.52,mothbeans
6.98,37.34,17.47,27.67,47.68,4.52,56.71,mothbeans
3.89,47.15,19.71,26.43,53.66,9.92,30.73,mothbeans
7.69,58.02,21.62,31.46,50.43,9.85,62.8,mothbeans
10.66,36.0,22.51,24.95,44.01,8.66,44.56,mothbeans
20.22,42.29,22.54,31.47,44.27,7.79,59.93,mothbeans
1.88,40.19,20.78,29.47,50.45,7.26,55.05,mothbeans
6.32,40.95,24.04,28.25,58.93,9.13,45.42,mothbeans
24.27,57.71,23.17,24.26,62.45,5.38,36.06,mothbeans
4.41,46.7,22.57,27.8,42.1,6.54,34.25,mothbeans
10.28,46.66,15.56,27.26,49.83,7.53,67.42,mothbeans
25.94,54.01,15.07,25.29,42.51,6.17,71.33,mothbeans
4.65,38.86,17.12,29.25,40.41,6.28,59.24,mothbeans
2.48,47.18,21.64,31.77,56.54,5.65,34.65,mothbeans
14.54,45.75,19.11,28.5,55.06,7.17,48.09,mothbeans
9.07,49.92,19.02,29.72,44.08,9.03,62.8,mothbeans
16.9,59.99,23.85,24.55,45.85,4.81,65.09,mothbeans
24.11,54.24,23.96,27.34,40.59,9.57,35.32,mothbeans
4.11,44.95,24.09,24.93,60.87,7.98,30.0,mothbeans
17.42,55.69,18.14,28.9,64.37,8.85,62.05,mothbeans
15.17,39.27,21.91,31.51,43.39,7.12,46.05,mothbeans
4.32,35.76,17.72,29.29,45.79,8.57,41.45,mothbeans
18.72,40.11,16.91,24.61,61.71,3.61,30.58,mothbeans
8.21,43.51,16.85,26.84,63.16,8.82,54.31,mothbeans
14.64,47.76,18.42,28.41,50.49,3.76,68.3,mothbeans
2.47,50.38,19.3,27.23,41.27,9.28,73.09,mothbeans
13.79,57.77,23.31,30.67,40.98,9.95,55.46,mothbeans
9.19,47.75,16.2,30.52,54.35,5.41,53.15,mothbeans
24.67,47.53,22.35,28.89,49.82,4.87,33.83,mothbeans
1.71,36.26,20.31,26.99,40.72,8.47,54.7,mothbeans
12.56,35.87,17.88,26.04,54.58,5.14,47.1,mothbeans
13.75,48.78,19.93,24.85,40.28,9.13,57.32,mothbeans
21.75,45.95,18.0,26.84,59.68,4.17,47.49,mothbeans
17.23,55.98,20.96,27.31,47.66,4.32,40.81,mothbeans
20.02,39.02,19.34,29.41,41.01,9.86,34.27,mothbeans
23.31,35.62,16.64,29.27,54.71,7.88,44.17,mothbeans
25.87,46.23,16.17,24.56,49.94,9.0,34.35,mothbeans
9.42,40.94,20.47,27.16,64.35,5.61,37.96,mothbeans
16.14,36.24,24.02,25.45,53.6,7.9,74.43,mothbeans
25.2,53.11,18.44,25.25,46.88,7.36,49.98,mothbeans
29.68,37.79,22.33,30.62,57.74,7.42,53.93,mothbeans
26.69,50.21,21.59,24.34,46.79,7.94,69.31,mothbeans
11.14,42.03,24.32,27.35,62.61,7.24,74.8,mothbeans
5.85,39.34,23.21,25.35,49.37,6.29,56.22,mothbeans
14.68,44.49,20.67,31.03,53.75,5.29,66.56,mothbeans
22.25,55.04,21.57,28.46,41.26,8.5,44.71,mothbeans
14.78,44.8,23.98,25.85,50.65,4.97,43.76,mothbeans
14.5,53.77,19.0,28.02,60.81,8.0,48.12,mothbeans
25.15,38.14,18.27,29.85,60.14,5.02,60.26,mothbeans
10.84,54.32,15.11,31.66,45.61,7.56,60.7,mothbeans
25.79,40.92,23.27,25.76,45.65,8.36,44.19,mothbeans
12.2,51.93,23.01,31.09,60.43,4.92,35.99,mothbeans
9.85,49.14,16.04,31.47,63.26,3.89,58.46,mothbeans
13.62,58.23,20.77,31.33,42.38,4.35,35.77,mothbeans
22.87,44.68,19.64,29.08,51.25,7.44,56.03,mothbeans
3.78,36.65,16.19,29.04,48.44,9.02,61.2,mothbeans
5.89,35.48,24.81,27.23,61.77,3.79,61.53,mothbeans
28.54,55.67,17.15,30.02,42.09,8.27,63.91,mothbeans
5.26,48.12,15.67,28.25,45.28,5.72,69.28,mothbeans
17.03,54.38,20.95,29.42,58.81,6.61,52.5,mothbeans
17.38,40.86,22.39,27.43,41.28,9.54,62.86,mothbeans
14.69,43.63,15.32,29.85,52.31,5.66,57.86,mothbeans
19.34,35.75,21.59,30.6,51.05,6.52,38.4,mothbeans
6.89,59.04,20.32,25.17,48.36,3.59,31.16,mothbeans
16.58,51.7,16.03,30.66,49.86,4.03,42.8,mothbeans
11.17,58.33,16.73,28.32,53.25,5.18,49.94,mothbeans
19.85,41.64,20.68,30.76,44.03,3.68,57.77,mothbeans
25.5,37.02,16.23,28.8,81.99,6.45,38.1,mungbean
5.89,58.49,20.19,28.54,87.83,6.27,36.76,mungbean
3.77,53.88,17.46,27.86,89.09,6.86,57.74,mungbean
28.9,49.67,18.58,27.02,83.7,6.8,39.75,mungbean
3.24,55.71,24.9,28.49,87.51,6.62,55.53,mungbean
14.35,37.0,21.84,27.86,88.97,6.62,48.62,mungbean
17.57,46.92,24.49,29.2,88.46,6.99,36.95,mungbean
16.24,50.75,16.43,27.07,81.83,6.4,58.89,mungbean
2.58,55.72,18.82,28.75,89.56,7.02,41.17,mungbean
1.71,54.59,20.55,29.82,83.77,6.85,56.49,mungbean
3.16,41.93,15.77,27.52,83.39,6.62,39.22,mungbean
17.57,58.52,15.04,28.41,80.62,6.66,56.35,mungbean
16.33,38.11,21.7,27.27,84.86,6.46,35.33,mungbean
7.01,56.88,21.42,28.88,81.09,6.95,47.79,mungbean
19.13,59.27,19.11,28.65,82.49,6.71,54.24,mungbean
24.6,39.43,19.9,28.22,83.17,6.52,58.37,mungbean
1.25,53.05,19.15,28.56,88.09,6.8,57.73,mungbean
14.94,36.01,15.24,29.69,88.75,7.2,55.49,mungbean
20.68,45.14,18.35,27.59,83.02,6.64,57.2,mungbean
7.57,47.91,16.77,27.07,88.59,7.12,39.98,mungbean
9.23,49.52,15.98,29.58,88.57,6.55,42.1,mungbean
18.41,58.4,24.57,28.73,87.65,6.25,42.22,mungbean
26.94,51.81,20.99,29.67,81.47,6.4,44.43,mungbean
24.3,47.03,22.29,28.79,86.9,6.62,44.83,mungbean
17.49,55.24,18.15,29.43,89.45,6.42,48.61,mungbean
21.91,58.76,18.93,28.29,86.83,6.2,39.0,mungbean
10.94,35.55,17.37,29.25,83.32,7.12,52.28,mungbean
19.23,59.56,15.97,29.74,85.01,7.04,39.19,mungbean
13.99,37.15,16.79,28.72,86.46,6.94,42.76,mungbean
5.7,55.36,22.98,27.54,85.11,6.37,47.58,mungbean
21.05,42.01,21.78,27.81,81.2,6.32,54.91,mungbean
16.69,38.3,20.47,27.6,83.12,6.27,53.49,mungbean
10.76,46.0,19.75,27.74,88.02,6.92,51.14,mungbean
27.34,51.1,24.22,27.92,88.61,7.13,38.89,mungbean
0.63,44.52,15.73,28.67,81.37,6.63,48.68,mungbean
9.47,36.36,17.81,28.76,89.52,6.32,37.19,mungbean
1.71,49.99,18.5,28.28,83.29,6.71,44.43,mungbean
23.0,57.56,22.82,28.85,86.62,6.55,45.34,mungbean
21.06,44.58,24.93,27.24,87.52,6.57,36.0,mungbean
9.94,40.41,17.41,27.26,88.12,6.82,41.85,mungbean
20.27,46.06,23.74,27.52,89.46,6.92,58.89,mungbean
11.88,36.21,23.31,28.55,83.13,6.31,58.84,mungbean
22.69,55.51,17.25,27.64,88.59,6.24,43.81,mungbean
13.63,55.66,18.99,27.85,81.32,7.19,36.08,mungbean
12.37,49.7,19.1,28.2,87.05,6.43,39.48,mungbean
28.04,43.83,24.78,29.44,87.42,6.25,44.81,mungbean
7.53,54.99,16.81,27.04,86.78,6.39,58.69,mungbean
3.61,48.87,22.99,28.95,82.52,6.24,38.53,mungbean
17.54,55.65,18.34,29.01,88.73,6.59,54.09,mungbean
29.08,50.79,22.31,29.4,81.69,7.0,37.72,mungbean
11.34,54.61,19.2,29.8,80.54,6.54,59.53,mungbean
1.86,49.96,20.78,27.06,87.17,6.64,44.54,mungbean
10.18,45.35,23.33,27.46,84.75,6.88,54.38,mungbean
15.18,58.95,23.04,29.66,88.49,6.71,43.56,mungbean
4.86,48.53,23.66,28.38,83.83,7.06,50.69,mungbean
19.74,50.13,15.6,28.69,81.68,7.07,39.8,mungbean
29.93,40.51,21.92,28.99,88.36,6.21,38.65,mungbean
13.55,50.64,16.4,29.04,85.49,6.98,58.45,mungbean
10.64,49.29,19.16,29.8,81.89,6.66,57.94,mungbean
12.02,39.62,20.49,29.99,87.2,7.19,57.19,mungbean
3.45,36.49,19.03,29.16,85.11,6.68,50.64,mungbean
26.5,50.11,20.2,27.86,86.04,7.19,55.21,mungbean
12.44,54.09,24.97,29.64,84.61,6.95,36.73,mungbean
11.62,48.09,16.35,27.15,88.29,6.45,43.37,mungbean
19.79,40.67,21.75,27.69,88.3,6.74,42.84,mungbean
13.26,51.66,18.96,29.69,87.09,7.19,50.89,mungbean
19.45,37.0,16.33,27.77,81.05,7.06,43.9,mungbean
1.84,46.05,16.59,27.66,88.39,6.3,38.71,mungbean
24.41,39.08,24.49,27.41,86.71,6.91,49.91,mungbean
28.22,39.61,23.8,29.58,86.97,6.55,55.36,mungbean
19.46,40.06,24.07,28.5,83.63,6.21,44.55,mungbean
28.64,44.67,24.92,29.02,88.79,6.6,38.31,mungbean
4.54,36.28,17.08,27.72,87.25,6.43,39.92,mungbean
14.32,44.94,18.55,29.27,81.13,7.02,40.94,mungbean
18.05,47.79,21.69,29.28,84.08,6.54,42.5,mungbean
17.45,47.08,19.84,27.94,88.86,7.03,51.07,mungbean
12.04,44.57,19.18,28.23,80.47,6.2,50.02,mungbean
10.14,55.98,18.58,27.63,89.61,6.51,52.4,mungbean
3.8,38.63,20.94,29.93,86.79,6.44,44.06,mungbean
11.75,47.64,20.76,28.94,86.31,6.43,55.6,mungbean
4.88,36.55,16.61,29.8,82.71,6.27,40.1,mungbean
22.03,36.78,19.72,27.91,82.49,6.39,46.73,mungbean
6.26,49.35,20.53,29.35,89.42,6.76,55.02,mungbean
1.76,49.15,20.7,29.3,82.98,6.49,39.5,mungbean
16.57,56.95,17.1,29.07,87.76,6.62,37.75,mungbean
17.86,48.95,22.42,29.9,83.93,6.58,57.09,mungbean
26.16,58.99,15.25,28.18,81.39,7.08,43.57,mungbean
17.31,36.22,18.55,27.39,80.11,7.11,52.1,mungbean
10.36,37.45,22.8,29.02,85.44,6.69,35.63,mungbean
24.09,36.1,20.64,29.19,89.76,6.53,52.25,mungbean
16.21,39.63,17.61,28.73,83.69,6.31,42.9,mungbean
2.38,48.53,21.95,27.62,83.57,7.15,36.39,mungbean
16.98,51.14,20.67,28.51,83.44,6.26,50.25,mungbean
27.24,36.14,22.96,27.94,85.21,6.5,41.02,mungbean
11.89,58.65,22.35,28.28,84.41,6.5,44.67,mungbean
8.89,56.05,21.1,28.94,88.8,6.52,37.01,mungbean
4.3,42.42,19.88,29.24,85.06,6.36,38.68,mungbean
4.54,36.93,16.33,27.7,85.08,6.98,42.45,mungbean
12.98,39.25,17.61,28.22,81.38,6.32,37.24,mungbean
17.87,38.17,19.19,27.81,89.83,6.83,57.77,mungbean
40.12,64.84,19.49,28.04,71.75,6.82,67.78,blackgram
49.68,66.84,20.78,34.83,60.16,7.76,60.77,blackgram
42.46,76.36,20.71,31.43,71.43,7.75,63.49,blackgram
46.15,63.5,18.32,32.18,73.4,6.82,67.38,blackgram
58.52,76.74,18.16,34.77,66.49,6.95,64.65,blackgram
43.23,57.2,16.07,28.77,68.03,7.66,62.73,blackgram
59.32,74.42,18.67,33.02,67.15,7.76,67.56,blackgram
44.12,76.19,15.99,29.35,65.84,7.08,64.84,blackgram
54.83,59.55,22.67,33.7,73.31,6.92,63.87,blackgram
50.93,65.76,24.66,26.81,73.41,7.18,66.96,blackgram
57.69,59.14,24.7,34.48,65.04,7.39,62.0,blackgram
51.08,72.67,23.65,27.19,69.23,6.86,73.92,blackgram
50.69,68.38,21.01,28.26,73.9,7.46,73.02,blackgram
43.91,70.88,22.01,32.56,74.43,6.57,70.61,blackgram
43.32,59.91,17.85,28.94,67.63,6.56,61.59,blackgram
58.33,60.29,21.31,31.08,66.79,7.0,71.64,blackgram
46.56,56.04,19.56,29.45,64.18,6.96,72.12,blackgram
47.44,63.05,19.82,32.42,74.38,6.91,71.52,blackgram
55.2,68.99,22.58,27.28,62.14,7.14,61.71,blackgram
46.78,76.45,17.82,25.58,68.7,6.92,69.66,blackgram
59.04,71.67,18.18,28.0,64.24,6.75,72.51,blackgram
54.76,65.88,24.25,29.74,64.19,6.9,68.66,blackgram
51.95,78.83,15.56,26.68,66.07,7.77,69.7,blackgram
57.62,72.98,19.86,28.55,74.98,7.03,66.88,blackgram
40.99,78.25,24.13,29.0,60.82,7.08,67.93,blackgram
45.14,68.19,21.1,25.57,68.68,7.25,60.52,blackgram
49.3,61.47,20.46,30.83,61.24,7.78,69.58,blackgram
44.54,56.32,17.5,33.84,62.32,6.81,61.22,blackgram
54.88,73.15,18.43,26.52,66.59,7.39,66.53,blackgram
58.38,58.03,23.52,30.98,67.66,7.43,64.39,blackgram
48.48,62.57,20.59,31.65,63.88,7.29,68.18,blackgram
46.84,68.31,20.15,29.19,64.75,6.62,62.0,blackgram
59.23,69.11,16.0,32.01,61.3,7.38,70.37,blackgram
48.9,70.01,15.16,29.11,64.55,6.58,71.93,blackgram
49.78,59.16,24.64,30.05,74.5,7.27,62.45,blackgram
47.03,64.49,18.77,25.07,74.17,7.46,61.56,blackgram
58.19,70.43,21.03,31.92,65.02,6.77,62.18,blackgram
51.38,79.25,15.8,31.61,68.56,7.59,73.16,blackgram
55.24,73.19,21.83,25.38,73.64,6.54,67.92,blackgram
56.24,78.07,24.33,28.68,60.09,7.6,67.01,blackgram
46.84,74.06,20.76,34.79,72.16,7.1,61.6,blackgram
48.67,69.79,16.26,29.21,74.23,6.78,69.74,blackgram
56.97,59.8,20.82,30.02,61.37,6.67,73.02,blackgram
47.27,71.67,22.66,34.1,62.42,7.74,72.42,blackgram
55.88,70.58,19.06,32.17,74.41,6.59,69.39,blackgram
58.82,70.06,23.8,30.82,68.06,6.76,61.13,blackgram
52.46,67.24,21.49,32.98,60.21,6.95,61.69,blackgram
54.83,68.22,23.99,33.64,63.86,7.31,60.74,blackgram
56.1,63.36,21.24,29.57,66.75,7.21,63.86,blackgram
56.9,67.98,16.31,29.75,70.39,6.66,62.03,blackgram
47.9,59.94,18.1,28.86,71.0,6.88,63.9,blackgram
41.03,75.13,17.02,34.67,74.93,6.81,65.78,blackgram
48.04,59.64,24.09,31.97,64.31,6.78,74.14,blackgram
53.48,57.12,22.6,25.83,68.07,7.03,69.16,blackgram
49.01,65.91,21.76,33.63,68.0,7.42,72.52,blackgram
54.98,71.46,18.01,29.81,66.08,6.78,70.66,blackgram
47.14,65.94,16.84,25.69,62.54,6.98,61.69,blackgram
52.69,61.92,22.56,30.5,74.66,7.01,71.04,blackgram
43.73,68.95,19.74,29.17,72.8,7.77,64.13,blackgram
54.99,63.68,17.26,33.78,67.47,7.74,69.59,blackgram
50.91,78.32,21.17,27.04,69.05,7.54,65.11,blackgram
44.08,78.07,15.4,33.26,63.41,6.81,74.97,blackgram
45.84,67.56,18.26,30.58,68.16,6.59,63.95,blackgram
54.97,63.2,19.69,25.55,70.42,6.91,64.19,blackgram
49.65,73.43,16.48,34.72,67.73,6.85,73.96,blackgram
44.32,55.92,24.85,30.13,74.85,7.16,60.37,blackgram
59.35,66.87,17.09,27.91,69.17,7.51,70.45,blackgram
54.3,63.41,16.3,29.69,65.56,7.62,70.88,blackgram
59.14,78.01,17.04,33.58,71.58,7.6,72.55,blackgram
48.54,55.3,22.69,28.05,62.56,6.97,74.62,blackgram
49.5,68.82,19.26,26.93,65.77,7.39,74.63,blackgram
57.96,73.52,20.65,26.29,65.2,6.91,60.98,blackgram
50.5,67.13,15.21,27.98,66.48,6.58,72.33,blackgram
54.15,57.14,15.34,32.8,71.73,7.41,69.69,blackgram
45.04,79.31,19.46,29.72,67.26,6.51,69.71,blackgram
48.93,67.95,23.17,27.27,71.91,7.03,61.93,blackgram
42.47,70.35,23.85,26.66,68.65,6.93,69.75,blackgram
44.12,60.92,15.87,28.33,65.13,7.4,74.74,blackgram
40.02,67.09,20.38,34.4,72.15,7.5,73.68,blackgram
40.79,65.73,24.13,28.43,63.57,6.9,66.59,blackgram
59.55,56.87,18.88,34.88,63.37,7.56,60.6,blackgram
44.85,57.65,23.3,29.85,67.57,6.88,65.43,blackgram
53.27,75.94,16.34,26.79,63.91,7.08,72.4,blackgram
56.78,61.0,24.35,33.91,60.14,7.45,70.52,blackgram
51.01,59.87,22.51,29.6,69.72,7.4,66.89,blackgram
43.06,67.62,24.41,32.1,67.67,7.78,60.83,blackgram
54.56,74.22,21.77,34.84,66.68,6.79,66.4,blackgram
52.01,56.55,18.63,25.5,74.5,7.36,67.04,blackgram
54.63,69.42,24.38,25.97,68.57,7.29,73.93,blackgram
55.39,57.98,17.76,32.2,72.95,7.69,69.62,blackgram
59.51,55.91,18.32,27.82,62.09,6.7,64.67,blackgram
51.47,56.32,22.01,26.84,68.54,7.48,67.88,blackgram
46.83,75.85,22.65,25.39,73.02,7.24,60.99,blackgram
52.97,57.95,24.29,25.22,68.75,6.86,74.59,blackgram
41.37,56.13,17.05,32.74,70.77,7.12,65.4,blackgram
57.95,65.95,22.98,26.34,65.58,6.93,67.17,blackgram
42.39,76.1,22.39,29.68,61.39,7.25,65.33,blackgram
46.56,61.56,15.64,31.06,66.87,7.66,70.24,blackgram
56.31,65.54,18.87,29.28,65.92,7.24,69.93,blackgram
51.95,56.0,17.83,25.27,73.01,7.32,70.73,blackgram
21.7,62.37,17.99,25.58,66.48,6.43,49.07,lentil
22.89,63.86,16.0,24.52,61.72,6.98,43.05,lentil
18.13,69.11,17.72,19.55,68.72,6.38,53.4,lentil
31.39,61.31,23.16,22.51,66.13,7.26,48.01,lentil
15.99,77.88,18.78,19.19,61.57,6.09,36.81,lentil
29.94,61.64,15.88,25.48,69.62,6.17,53.96,lentil
36.74,77.4,18.42,23.36,65.18,6.64,40.17,lentil
37.27,57.59,24.81,27.34,60.73,6.02,41.74,lentil
26.23,71.41,21.3,20.65,66.27,6.19,43.05,lentil
26.48,77.67,19.16,19.97,62.53,7.32,36.02,lentil
16.92,59.22,16.67,22.88,68.04,7.36,44.93,lentil
31.77,79.21,24.86,29.12,68.18,6.46,37.47,lentil
35.53,66.32,23.21,26.53,69.79,7.28,43.02,lentil
21.12,78.64,17.81,23.03,65.02,6.72,42.01,lentil
25.53,71.92,15.7,24.21,64.55,6.3,50.46,lentil
35.97,62.54,15.57,19.01,67.53,6.95,51.06,lentil
36.93,59.71,16.2,29.81,61.32,6.89,38.07,lentil
21.08,62.59,20.81,26.0,65.47,7.38,42.33,lentil
28.76,57.33,24.29,21.42,65.46,6.3,42.47,lentil
19.81,58.6,19.97,25.03,60.89,6.91,38.03,lentil
17.55,57.62,23.43,19.31,64.18,5.98,50.97,lentil
37.78,65.57,19.46,29.59,68.53,6.07,49.14,lentil
35.51,74.89,22.09,20.1,68.56,5.91,38.81,lentil
34.0,58.53,22.32,25.78,60.99,7.4,42.33,lentil
16.22,58.26,16.74,20.95,60.91,7.1,37.12,lentil
36.09,71.09,18.61,26.61,62.63,7.08,47.56,lentil
25.95,59.93,21.37,27.32,68.75,6.66,37.43,lentil
23.56,57.44,15.71,26.08,61.29,6.35,54.72,lentil
28.66,59.17,18.62,25.37,67.2,6.13,50.61,lentil
17.28,78.09,20.35,28.71,61.01,6.33,42.8,lentil
33.92,75.54,24.96,18.94,66.23,6.46,46.57,lentil
29.56,63.85,19.75,21.97,63.56,7.03,53.23,lentil
19.66,71.4,23.16,20.98,67.89,6.71,46.08,lentil
19.71,68.43,19.32,29.86,62.34,6.02,38.49,lentil
19.61,71.93,22.96,22.67,66.39,5.93,42.57,lentil
16.43,72.07,20.95,26.79,62.36,6.05,51.86,lentil
29.69,70.72,23.87,26.22,67.14,6.52,47.88,lentil
36.01,61.65,19.11,20.54,68.74,7.3,48.01,lentil
15.44,55.98,21.04,20.87,61.27,6.86,52.34,lentil
16.23,66.39,21.3,21.38,68.67,7.1,52.88,lentil
29.32,77.27,19.17,22.93,65.94,6.6,53.4,lentil
